interwencja;p.stresu;plec;mniejszosc;studia;partner;zamieszkanie;praca;alkohol;wiek
1;12;0;0;0;1;1;1;0;64
0;11;0;0;1;1;0;1;0;40
0;14;0;0;1;1;2;1;0;57
0;19;0;0;1;1;0;1;0;36
0;13;1;0;0;1;0;1;1;64
1;10;1;0;1;1;1;1;1;51
0;18;1;0;0;1;0;0;1;56
1;10;0;0;0;0;2;1;1;70
0;12;0;0;1;1;0;1;1;48
0;11;1;0;1;1;0;1;1;63
0;17;1;0;1;1;0;1;0;39
0;11;1;0;1;0;2;1;1;66
0;16;0;0;0;1;0;1;1;33
0;14;1;0;1;1;0;1;1;43
0;14;0;0;1;1;1;1;1;42
0;14;0;0;1;0;2;1;1;48
0;12;0;0;1;1;0;1;0;37
1;10;0;0;0;1;1;1;1;72
0;14;0;0;1;0;0;1;1;36
0;18;0;0;0;1;1;1;1;34
0;10;1;0;0;1;0;1;1;71
0;26;0;1;1;1;2;1;1;32
0;10;0;0;0;1;2;1;1;61
0;13;0;0;1;0;1;1;0;48
0;10;1;0;1;0;0;1;1;79
0;14;0;0;1;1;0;1;1;52
0;11;0;0;1;0;0;1;0;60
0;15;0;0;1;1;0;1;1;50
0;12;1;0;0;0;0;1;1;76
0;12;1;0;1;0;0;1;0;72
0;10;1;0;0;1;0;1;1;56
0;11;1;0;1;1;0;0;0;35
0;13;1;0;1;1;0;0;1;40
1;22;0;0;1;1;0;1;0;33
0;10;0;0;1;1;2;1;0;40
0;13;0;0;1;1;0;1;0;39
0;10;0;0;1;1;1;0;1;41
0;19;1;0;1;0;0;1;1;42
0;10;1;0;1;1;0;1;0;44
1;12;0;0;0;0;1;1;0;76
0;13;1;0;1;1;0;1;1;65
0;10;1;0;1;1;0;1;0;37
0;12;1;0;0;1;0;1;1;68
0;14;1;0;0;1;0;1;1;50
0;12;0;0;1;1;0;1;0;41
0;26;0;0;1;0;0;1;1;39
0;20;0;0;1;1;0;1;0;32
0;10;1;0;1;0;0;1;1;71
0;17;0;0;1;1;0;1;1;30
0;12;1;0;1;1;0;1;1;54
0;15;0;0;0;1;0;1;1;73
0;11;1;0;1;1;2;1;1;70
0;14;0;0;1;1;2;1;0;36
0;12;1;0;1;1;1;1;1;49
0;12;0;0;0;1;1;1;1;44
1;17;1;0;1;0;0;1;1;47
0;17;1;0;1;1;0;1;1;49
0;26;1;0;1;1;1;1;1;39
0;14;0;0;1;1;0;0;0;48
0;12;0;0;1;1;1;0;0;35
0;10;1;0;0;0;0;1;1;68
0;14;1;0;1;1;0;1;1;65
0;16;1;0;0;1;2;1;1;67
0;17;0;0;1;1;1;1;0;35
0;12;1;0;1;1;0;0;0;36
0;26;0;0;0;1;0;1;0;65
0;14;0;0;1;0;0;1;0;55
0;10;0;0;0;1;0;0;0;65
0;11;1;0;1;1;2;1;0;44
0;13;1;0;1;1;0;1;1;36
0;13;0;0;1;1;2;1;1;30
0;10;0;0;0;1;0;1;0;39
0;11;1;0;1;1;0;1;1;42
1;11;0;0;1;1;0;1;1;73
0;10;1;0;1;1;0;1;0;66
0;9;1;0;0;0;0;1;1;57
0;10;0;0;0;1;0;1;1;65
0;10;0;0;0;1;0;1;1;75
0;10;1;0;1;0;0;1;0;72
0;14;1;0;0;0;2;1;1;46
0;19;0;0;1;0;1;0;0;39
0;12;0;0;0;1;0;1;0;61
1;26;1;0;1;0;2;1;1;42
1;13;0;0;0;0;0;1;0;55
0;10;0;0;1;1;1;1;0;49
0;8;1;0;1;1;1;1;1;35
1;20;1;0;1;0;0;1;1;55
0;11;0;0;1;1;2;0;0;42
